joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,pump_1_flow,pump_2_flow,pump_3_flow,pump_4_flow,pump_5_flow,pump_6_flow,pump_7_flow,pump_8_flow,scale1,scale2,scale3,scale4,event_occured,reacted,signal_detection_0,signal_detection_HIT,signal_detection_MISS
7.5,39.75,2.592937,1,1,-8,1,-8,0,0,0,0,0,0,0,0,6,6,4,4,0,0,1,0,0
8.5,38.75,44.06236,1,1,-9,1,-9,0,0,0,0,0,0,0,0,7,5,5,5,0,0,1,0,0
8.75,38.25,84.810233,0,1,-10,1,-10,0,0,0,0,0,0,0,0,6,4,4,6,0,0,1,0,0
8.5,33.5,125.128169,0,1,-11,1,-11,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0
3.25,21.75,160.767478,0,1,-12,1,-12,0,0,0,0,0,0,0,0,4,6,6,4,0,0,1,0,0
0.0,17.5,183.767245,0,1,-13,1,-13,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0
-1.5,13.0,198.917674,0,1,-14,1,-14,0,0,0,0,0,0,0,0,6,4,4,6,0,0,1,0,0
-3.0,10.0,195.274286,0,1,-15,1,-15,0,0,0,0,0,0,0,0,5,3,3,5,0,0,1,0,0
-4.0,7.75,198.313534,0,1,-16,1,-16,0,0,0,0,0,0,0,0,6,4,4,4,0,0,1,0,0
-4.0,6.75,196.401416,0,1,-17,1,-17,0,0,0,0,0,0,0,0,7,5,5,5,0,0,1,0,0
-4.0,5.75,197.139711,0,1,-18,1,-18,0,0,0,0,0,0,0,0,6,6,6,6,0,0,1,0,0
-4.25,5.25,196.557044,0,1,-19,1,-19,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0
-6.25,-1.0,196.137559,0,1,-20,1,-20,0,0,0,0,0,0,0,0,4,6,4,6,0,0,1,0,0
-7.75,-5.25,190.1913,0,1,-21,1,-21,0,0,0,0,0,0,0,0,5,5,3,7,0,0,1,0,0
-8.0,-9.75,185.249549,0,1,-22,1,-22,0,0,0,0,0,0,0,0,4,6,4,6,0,0,1,0,0
-8.25,-12.25,176.039054,0,1,-23,1,-23,0,0,0,0,0,0,0,0,5,5,5,7,0,0,1,0,0
